323,582
357,808
983,818
865,860
195,38
629,728
399,490
249,972
619,118
357,296
255,138
785,972
707,158
957,304
311,778
249,20
891,998
957,752
943,458
785,844
331,262
69,184
639,770
665,652
299,230
957,936
511,882
9,252
315,790
517,664
999,722
977,820
923,982
853,816
295,754
993,468
555,102
581,648
959,242
961,908
515,918
421,848
255,586
993,244
51,926
301,520
87,626
425,716
659,830
157,664
431,578
273,276
955,470
469,720
407,378
273,444
411,566
157,240
103,770
321,596
731,982
733,544
263,842
649,860
387,366
925,696
839,858
361,260
19,158
813,904
71,946
225,692
587,790
293,56
655,122
937,220
979,774
605,312
663,18
9,612
371,350
117,456
583,170
945,900
155,134
877,680
967,826
153,700
211,142
789,200
903,570
625,996
635,590
893,80
647,210
761,652
739,774
637,448
119,666
369,940
