323,582
357,808
983,818
865,860
195,38
629,728
399,490
249,972
619,118
357,296
255,138
785,972
707,158
957,304
311,778
249,20
891,998
957,752
943,458
785,844
331,262
69,184
639,770
665,652
299,230
957,936
511,882
9,252
315,790
517,664
999,722
977,820
923,982
853,816
295,754
993,468
555,102
581,648
959,242
961,908
515,918
421,848
255,586
993,244
51,926
301,520
87,626
425,716
659,830
157,664
431,578
273,276
955,470
469,720
407,378
273,444
411,566
157,240
103,770
321,596
731,982
733,544
263,842
649,860
387,366
925,696
839,858
361,260
19,158
813,904
71,946
225,692
587,790
293,56
655,122
937,220
979,774
605,312
663,18
9,612
371,350
117,456
583,170
945,900
155,134
877,680
967,826
153,700
211,142
789,200
903,570
625,996
635,590
893,80
647,210
761,652
739,774
637,448
119,666
369,940
691,62
997,840
559,306
993,132
315,406
437,904
119,618
529,588
51,598
941,712
23,586
465,684
75,566
813,800
407,738
521,796
355,782
581,264
759,82
577,380
795,302
45,360
375,714
41,516
203,662
981,160
47,722
689,732
939,886
989,304
871,946
649,852
907,310
925,32
295,258
449,156
411,374
957,200
431,474
801,972
763,118
613,872
495,602
489,844
939,718
45,784
551,610
545,164
803,358
285,312
455,346
345,380
491,510
533,200
31,866
513,228
435,590
917,792
295,210
337,684
363,94
285,616
951,698
657,756
123,110
213,768
159,562
305,812
819,422
669,984
311,618
721,412
27,878
45,64
711,50
193,532
251,166
845,24
487,642
681,324
163,38
221,672
663,938
969,12
747,758
685,616
391,514
921,140
267,70
629,920
47,626
729,396
619,22
877,968
743,634
969,236
731,198
709,976
263,802
689,676
